Sample	Breed	Sex	Weight	Height	Life span	Long legs	Drop ears	Large ears	Tail curl	Bulky	Muscled	White chest	White head	Hairless	Lengh of fur	Furnish	Boldness
Doberman Pinscher 4	Doberman Pinscher	M	34.93	66.04	11.5				1	1		1	1	1	1	1	
Doberman Pinscher 5	Doberman Pinscher	F	34.93	66.04	11.5				1	1		1	1	1	1	1	
English Cocker Spaniel 1	English Cocker Spaniel	M	13.61	40.64	13	1	2	2	1	1	1			1	2	1	
English Cocker Spaniel 2	English Cocker Spaniel	M	13.61	40.64	13	1	2	2	1	1	1			1	2	1	
English Cocker Spaniel 3	English Cocker Spaniel	M	13.61	40.64	13	1	2	2	1	1	1			1	2	1	
English Cocker Spaniel 4	English Cocker Spaniel	M	13.61	40.64	13	1	2	2	1	1	1			1	2	1	
English Cocker Spaniel 5	English Cocker Spaniel	F	13.61	40.64	13	1	2	2	1	1	1			1	2	1	
English Cocker Spaniel 6	English Cocker Spaniel	M	13.61	40.64	13	1	2	2	1	1	1			1	2	1	
English Setter 1	English Setter	F	28.35	62.23	11		2		2	1	1	2		1	2	1	2
English Setter 2	English Setter	F	28.35	62.23	11		2		2	1	1	2		1	2	1	2
English Setter 3	English Setter	M	28.35	62.23	11		2		2	1	1	2		1	2	1	2
English Springer Spaniel 1	English Springer Spaniel	M			11		2	2	2	1	1	2	2	1	2	1	
English Springer Spaniel 2	English Springer Spaniel	M			11		2	2	2	1	1	2	2	1	2	1	
Entlebucher Sennenhund 1	Entlebucher Sennenhund	M	25	48	13	1	2	1		1	2	2	2	1	1	1	
Entlebucher Sennenhund 2	Entlebucher Sennenhund	M	25	48	13	1	2	1		1	2	2	2	1	1	1	
Entlebucher Sennenhund 3	Entlebucher Sennenhund	M	25	48	13	1	2	1		1	2	2	2	1	1	1	
Entlebucher Sennenhund 4	Entlebucher Sennenhund	M	25	48	13	1	2	1		1	2	2	2	1	1	1	
Entlebucher Sennenhund 5	Entlebucher Sennenhund	M	25	48	13	1	2	1		1	2	2	2	1	1	1	
Entlebucher Sennenhund 6	Entlebucher Sennenhund	M	25	48	13	1	2	1		1	2	2	2	1	1	1	
Entlebucher Sennenhund 7	Entlebucher Sennenhund	M	25	48	13	1	2	1		1	2	2	2	1	1	1	
Entlebucher Sennenhund 8	Entlebucher Sennenhund	M	25	48	13	1	2	1		1	2	2	2	1	1	1	
Eurasier 1	Eurasier	M	24.04	53.34	12		1	1	4	1	1		1	1	2	1	
Eurasier 2	Eurasier	F	24.04	53.34	12		1	1	4	1	1		1	1	2	1	
Field Spaniel	Field Spaniel	M	20.5	46	11	1	2	2						1			
Finnish Lapphund	Finnish Lapphund	M	19	49	13	1	1	1		1	1		1	1	2	1	
Flatcoated Retriever 1	Flat-Coated Retriever	M	29	57	9		2	1	2	1	1	1	1	1		1	2
Flatcoated Retriever 2	Flat-Coated Retriever	F	29	57	9		2	1	2	1	1	1	1	1		1	2
Flatcoated Retriever 3	Flat-Coated Retriever	F	29	57	9		2	1	2	1	1	1	1	1		1	2
Fonni Dog	Fonni's Dog	F	32.5	56			2		1	1	1			1	2	2	
French Bulldog 1	French Bulldog	F	11.34	30.48	11	1	1	2		1	2	2		1	1	1	
French Bulldog 2	French Bulldog	M	11.34	30.48	11	1	1	2		1	2	2		1	1	1	
German Hunting Terrier	German Hunting Terrier	M	9.2	36.5			2	1	1	1	1			1	1	2	
German Shepherd Dog 1	German Shepherd Dog	M	38.56	60.96	11		1	1	1	1		1	1	1		1	
German Shepherd Dog 10	German Shepherd Dog	F	38.56	60.96	11		1	1	1	1		1	1	1		1	
German Shepherd Dog 11	German Shepherd Dog	F	38.56	60.96	11		1	1	1	1		1	1	1		1	
German Shepherd Dog 12	German Shepherd Dog	M	38.56	60.96	11		1	1	1	1		1	1	1		1	
German Shepherd Dog 13	German Shepherd Dog	F	38.56	60.96	11		1	1	1	1		1	1	1		1	
German Shepherd Dog 14	German Shepherd Dog	F	38.56	60.96	11		1	1	1	1		1	1	1		1	
German Shepherd Dog 15	German Shepherd Dog	M	38.56	60.96	11		1	1	1	1		1	1	1		1	
German Shepherd Dog 2	German Shepherd Dog	F	38.56	60.96	11		1	1	1	1		1	1	1		1	
German Shepherd Dog 3	German Shepherd Dog	F	38.56	60.96	11		1	1	1	1		1	1	1		1	
German Shepherd Dog 4	German Shepherd Dog	F	38.56	60.96	11		1	1	1	1		1	1	1		1	
German Shepherd Dog 5	German Shepherd Dog	M	38.56	60.96	11		1	1	1	1		1	1	1		1	
German Shepherd Dog 6	German Shepherd Dog	M	38.56	60.96	11		1	1	1	1		1	1	1		1	
German Shepherd Dog 7	German Shepherd Dog	M	38.56	60.96	11		1	1	1	1		1	1	1		1	
German Shepherd Dog 8	German Shepherd Dog	M	38.56	60.96	11		1	1	1	1		1	1	1		1	
German Shepherd Dog 9	German Shepherd Dog	M	38.56	60.96	11		1	1	1	1		1	1	1		1	
German Wirehaired Pointer	German Wirehaired Pointer	M	29.48	60.96	11		2	1		1	1	2	2	1			
Golden Retriever 1	Golden Retriever	F	29.48	57.785			2	1	2	1				1	2	1	
Golden Retriever 10	Golden Retriever	M	29.48	57.785			2	1	2	1				1	2	1	
Golden Retriever 11	Golden Retriever	M	29.48	57.785			2	1	2	1				1	2	1	
Golden Retriever 12	Golden Retriever	F	29.48	57.785			2	1	2	1				1	2	1	
Golden Retriever 13	Golden Retriever	F	29.48	57.785			2	1	2	1				1	2	1	
Golden Retriever 14	Golden Retriever	F	29.48	57.785			2	1	2	1				1	2	1	
Golden Retriever 15	Golden Retriever	F	29.48	57.785			2	1	2	1				1	2	1	
Golden Retriever 16	Golden Retriever	M	29.48	57.785			2	1	2	1				1	2	1	
Golden Retriever 17	Golden Retriever	M	29.48	57.785			2	1	2	1				1	2	1	
Golden Retriever 18	Golden Retriever	M	29.48	57.785			2	1	2	1				1	2	1	
Golden Retriever 19	Golden Retriever	M	29.48	57.785			2	1	2	1				1	2	1	
Golden Retriever 2	Golden Retriever	M	29.48	57.785			2	1	2	1				1	2	1	
Golden Retriever 20	Golden Retriever	M	29.48	57.785			2	1	2	1				1	2	1	
Golden Retriever 3	Golden Retriever	M	29.48	57.785			2	1	2	1				1	2	1	
Golden Retriever 4	Golden Retriever	F	29.48	57.785			2	1	2	1				1	2	1	
Golden Retriever 5	Golden Retriever	F	29.48	57.785			2	1	2	1				1	2	1	
Golden Retriever 6	Golden Retriever	F	29.48	57.785			2	1	2	1				1	2	1	
Golden Retriever 7	Golden Retriever	M	29.48	57.785			2	1	2	1				1	2	1	
Golden Retriever 8	Golden Retriever	M	29.48	57.785			2	1	2	1				1	2	1	
Golden Retriever 9	Golden Retriever	M	29.48	57.785			2	1	2	1				1	2	1	
Gordon Setter 1	Gordon Setter	M	28.35	63.5	11		2		2	1	1	1	1	1	2	1	2
Gordon Setter 2	Gordon Setter	F	28.35	63.5	11		2		2	1	1	1	1	1	2	1	2
Great Dane 1	Great Dane	F	61.69	78.74	7	2	2	1		1	2			1	1	1	
Great Dane 2	Great Dane	M	61.69	78.74	7	2	2	1		1	2			1	1	1	
Great Dane 3	Great Dane	M	61.69	78.74	7	2	2	1		1	2			1	1	1	
Great Dane 4	Great Dane	F	61.69	78.74	7	2	2	1		1	2			1	1	1	
Great Dane 5	Great Dane	F	61.69	78.74	7	2	2	1		1	2			1	1	1	
Great Pyrenees	Great Pyrenees	F	41.96	71.755	11	2	2	1		1	2	2		1	2	1	
Greater Swiss Mountain Dog 1	Greater Swiss Mountain Dog	M	60.1	66.3575	10		2	1	1	2	2	2	2	1	1	1	
Greater Swiss Mountain Dog 2	Greater Swiss Mountain Dog	M	60.1	66.3575	10		2	1	1	2	2	2	2	1	1	1	
Greenland Dog	Greenland Dog	M	31	60			1	1	2	1				1		1	
Greyhound 1	Greyhound	M	29.48	71.755	11	2		1	1	1	1			1	1	1	2
Greyhound 2	Greyhound	F	29.48	71.755	11	2		1	1	1	1			1	1	1	2
Greyhound 3	Greyhound	M	29.48	71.755	11	2		1	1	1	1			1	1	1	2
Greyhound 4	Greyhound	M	29.48	71.755	11	2		1	1	1	1			1	1	1	2
Greyhound 5	Greyhound	M	29.48	71.755	11	2		1	1	1	1			1	1	1	2
Greyhound 6	Greyhound	F	29.48	71.755	11	2		1	1	1	1			1	1	1	2
Greyhound 7	Greyhound	M	29.48	71.755	11	2		1	1	1	1			1	1	1	2
Greyhound 8	Greyhound	F	29.48	71.755	11	2		1	1	1	1			1	1	1	2
Greyhound 9	Greyhound	F	29.48	71.755	11	2		1	1	1	1			1	1	1	2
Grossspitz	Grossspitz	F	17.5	46	14	1	1	1	2	1	1			1		1	
Heideterrier	Heideterrier	F	20	50		1	2	1	1	1	1	1	1	1	1	1	
Hovawart	Hovawart	F	40	65.5			2	1	1				1	1	2	1	
Irish Setter	Irish Setter	F	29.48	66.04	13.5		2			1	1	1	1	1	2	1	
Irish Terrier 1	Irish Terrier	F	11.79	45.72	14	1		1		1	1	1	1	1	1	2	
Irish Terrier 2	Irish Terrier	M	11.79	45.72	14	1		1		1	1	1	1	1	1	2	
Irish Water Spaniel 1	Irish Water Spaniel	M	25.63	57.15	11		2	1		1	1	1	1	1		1	
Irish Water Spaniel 2	Irish Water Spaniel	F	25.63	57.15	11		2	1		1	1	1	1	1		1	
Irish Water Spaniel 3	Irish Water Spaniel	M	25.63	57.15	11		2	1		1	1	1	1	1		1	
Irish Wolfhound	Irish Wolfhound	F	66.63	78.74	8	2		1	2	1	2			1	1	2	2
Italian Greyhound 1	Italian Greyhound	F	4.3	35.56	13.5			1		1	1			1	1	1	
Italian Greyhound 2	Italian Greyhound	M	4.3	35.56	13.5			1		1	1			1	1	1	
Jack Russell Terrier 1	Jack Russell Terrier	F	6.8	30.48	14.5	1		1	2.7	1	1	2	2	1	1	1	1
Jack Russell Terrier 2	Jack Russell Terrier	M	6.8	30.48	14.5	1		1	2.7	1	1	2	2	1	1	1	1
Jack Russell Terrier 3	Jack Russell Terrier	F	6.8	30.48	14.5	1		1	2.7	1	1	2	2	1	1	1	1
Jack Russell Terrier 4	Jack Russell Terrier	F	6.8	30.48	14.5	1		1	2.7	1	1	2	2	1	1	1	1
Jamthund	Jamthund	M	29.94	60.96	11.5		1	1		1	1		1	1	1	1	
Jindo	Jindo	M	19.84	50.8	13.5	1	1	1		1	1	2		1	1	1	
Keeshond	Keeshond	M	17.5	44	13	1	1	1	1	1	1			1	2	1	
Kerry Blue Terrier	Kerry Blue Terrier	F	16.56	46.355	14	1	2			1	1	1	1	1		2	
Komondor	Komondor	F	50	75	11		2		1	1		2	2	1	2	2	
Kromfohrl	Kromfohrl	M	12	42				1	1	1	1	2	2	1		2	
Labrador Retriever 1	Labrador Retriever	M	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 10	Labrador Retriever	F	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 11	Labrador Retriever	M	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 12	Labrador Retriever	F	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 13	Labrador Retriever	F	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 14	Labrador Retriever	F	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 15	Labrador Retriever	M	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 16	Labrador Retriever	M	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 17	Labrador Retriever	M	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 18	Labrador Retriever	M	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 19	Labrador Retriever	M	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 2	Labrador Retriever	M	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 20	Labrador Retriever	M	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 21	Labrador Retriever	M	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 22	Labrador Retriever	M	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 23	Labrador Retriever	F	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 24	Labrador Retriever	M	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 3	Labrador Retriever	M	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 4	Labrador Retriever	F	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 5	Labrador Retriever	M	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 6	Labrador Retriever	F	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 7	Labrador Retriever	M	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 8	Labrador Retriever	M	30.62	58.42	12		2	1	1	1				1	1	1	2
Labrador Retriever 9	Labrador Retriever	M	30.62	58.42	12		2	1	1	1				1	1	1	2
Lagotto Romagnolo 1	Lagotto Romagnolo	M	13	44	16	1	2	1		1	1	1	1	1		2	
Lagotto Romagnolo 2	Lagotto Romagnolo	M	13	44	16	1	2	1		1	1	1	1	1		2	
Lagotto Romagnolo 3	Lagotto Romagnolo	M	13	44	16	1	2	1		1	1	1	1	1		2	
Lagotto Romagnolo 4	Lagotto Romagnolo	F	13	44	16	1	2	1		1	1	1	1	1		2	
Lagotto Romagnolo 5	Lagotto Romagnolo	M	13	44	16	1	2	1		1	1	1	1	1		2	
Landseer	Landseer	M	56.7	68.58	11		2		2	2	2	2	2	1	2	1	2
Lapponian Herder	Lapponian Herder	M	27.22	48.26	13		1	1		1	1		1	1	1	1	
Leonberger	Leonberger	M	41.96	72.39	8.5		2	1	1	2	2	1	1	1	2	1	
Lowchen	Lowchen	F	6.12	33.02	13	1				1	1	2		1			
English Mastiff 1	Mastiff (English)	M	82.78	73.025	11	2	2	1		2	2	1	1	1	1	1	
English Mastiff 2	Mastiff (English)	F	82.78	73.025	11	2	2	1		2	2	1	1	1	1	1	
Bull Terrier Miniature 	Miniature Bull Terrier 	M	24	20	12	1	1	1	1	1	2	2	2	1	1	1	
Miniature Poodle 1	Miniature Poodle	M	7.71	31.75	15	1	2	2	1	1	1			1	2	2	
Miniature Poodle 2	Miniature Poodle	F	7.71	31.75	15	1	2	2	1	1	1			1	2	2	
