Sample	Breed	Sex	Weight	Height	Life span	Long legs	Drop ears	Large ears	Tail curl	Bulky	Muscled	White chest	White head	Hairless	Lengh of fur	Furnish	Boldness
Pembroke Welsh Corgi 3	Pembroke Welsh Corgi	F	11.79	27.94	13		1	2		1	1	2		1	1	1	
Peruvian Inca Orchid	Peruvian Inca Orchid	M					1	1	1	1	1	1	1	2	1	1	
Petit Basset Griffon Vendeen	Petit Basset Griffon Vendeen	M	14.51	35.56	13		2			1	1	2	2	1	2	2	
English Pointer 1	Pointer (English)	M	27.22	64.77	11		2	1		1	1	2	2	1	1	1	
English Pointer 2	Pointer (English)	F	27.22	64.77	11		2	1		1	1	2	2	1	1	1	
Pomeranian	Pomeranian	M	2.27	20	14	1	1	1		1	1	1	1	1		1	
Portuguese Podengo	Portuguese Podengo	M					1	1						1			
Portuguese Water Dog 1	Portuguese Water Dog	F	20.41	50.8	13.5	1	2	1	1	1	1	1		1	2	1	
Portuguese Water Dog 10	Portuguese Water Dog	F	20.41	50.8	13.5	1	2	1	1	1	1	1		1	2	1	
Portuguese Water Dog 11	Portuguese Water Dog	F	20.41	50.8	13.5	1	2	1	1	1	1	1		1	2	1	
Portuguese Water Dog 2	Portuguese Water Dog	F	20.41	50.8	13.5	1	2	1	1	1	1	1		1	2	1	
Portuguese Water Dog 3	Portuguese Water Dog	M	20.41	50.8	13.5	1	2	1	1	1	1	1		1	2	1	
Portuguese Water Dog 4	Portuguese Water Dog	F	20.41	50.8	13.5	1	2	1	1	1	1	1		1	2	1	
Portuguese Water Dog 5	Portuguese Water Dog	M	20.41	50.8	13.5	1	2	1	1	1	1	1		1	2	1	
Portuguese Water Dog 6	Portuguese Water Dog	M	20.41	50.8	13.5	1	2	1	1	1	1	1		1	2	1	
Portuguese Water Dog 7	Portuguese Water Dog	M	20.41	50.8	13.5	1	2	1	1	1	1	1		1	2	1	
Portuguese Water Dog 8	Portuguese Water Dog	M	20.41	50.8	13.5	1	2	1	1	1	1	1		1	2	1	
Portuguese Water Dog 9	Portuguese Water Dog	F	20.41	50.8	13.5	1	2	1	1	1	1	1		1	2	1	
Pug 1	Pug	M	7.26	26.67	13.5	1		1		1	2		1	1	1	1	
Pug 2	Pug	M	7.26	26.67	13.5	1		1		1	2		1	1	1	1	
Pug 3	Pug	M	7.26	26.67	13.5	1		1		1	2		1	1	1	1	
Pug 4	Pug	F	7.26	26.67	13.5	1		1		1	2		1	1	1	1	
Pug 5	Pug	M	7.26	26.67	13.5	1		1		1	2		1	1	1	1	
Rhodesian Ridgeback 1	Rhodesian Ridgeback	F	35.15	64.77	11		2	1		1	2		1	1	1	1	
Rhodesian Ridgeback 2	Rhodesian Ridgeback	F	35.15	64.77	11		2	1		1	2		1	1	1	1	
Rhodesian Ridgeback 3	Rhodesian Ridgeback	F	35.15	64.77	11		2	1		1	2		1	1	1	1	
Rhodesian Ridgeback 4	Rhodesian Ridgeback	F	35.15	64.77	11		2	1		1	2		1	1	1	1	
Rhodesian Ridgeback 5	Rhodesian Ridgeback	F	35.15	64.77	11		2	1		1	2		1	1	1	1	
Rottweiler 1	Rottweiler	F	45.36	62.23	9		2	1	2	2	2	1	1	1	1	1	1
Rottweiler 10	Rottweiler	M	45.36	62.23	9		2	1	2	2	2	1	1	1	1	1	1
Rottweiler 2	Rottweiler	M	45.36	62.23	9		2	1	2	2	2	1	1	1	1	1	1
Rottweiler 3	Rottweiler	F	45.36	62.23	9		2	1	2	2	2	1	1	1	1	1	1
Rottweiler 4	Rottweiler	F	45.36	62.23	9		2	1	2	2	2	1	1	1	1	1	1
Rottweiler 5	Rottweiler	F	45.36	62.23	9		2	1	2	2	2	1	1	1	1	1	1
Rottweiler 6	Rottweiler	M	45.36	62.23	9		2	1	2	2	2	1	1	1	1	1	1
Rottweiler 7	Rottweiler	F	45.36	62.23	9		2	1	2	2	2	1	1	1	1	1	1
Rottweiler 8	Rottweiler	F	45.36	62.23	9		2	1	2	2	2	1	1	1	1	1	1
Rottweiler 9	Rottweiler	F	45.36	62.23	9		2	1	2	2	2	1	1	1	1	1	1
Saint Bernard 1	Saint Bernard	F	70.31	67.31	9		2	1		2	2	2	2	1		1	
Saint Bernard 2	Saint Bernard	M	70.31	67.31	9		2	1		2	2	2	2	1		1	
Saluki 1	Saluki	F	19.5	64.77	13	2				1	1			1	1	1	
Saluki 2	Saluki	M	19.5	64.77	13	2				1	1			1	1	1	
Saluki 3	Saluki	M	19.5	64.77	13	2				1	1			1	1	1	
Samoyed 1	Samoyed	F	26.31	53.975	13		1	1	4	1	1	2		1	2	1	1
Samoyed 2	Samoyed	F	26.31	53.975	13		1	1	4	1	1	2		1	2	1	1
Scottish Deerhound	Scottish Deerhound	M	41.39	74.93	9.5	2				1	2			1			
Scottish Terrier 1	Scottish Terrier	F	9.07	25.4	13.5		1			1	1	1	1	1		2	
Scottish Terrier 2	Scottish Terrier	M	9.07	25.4	13.5		1			1	1	1	1	1		2	
Scottish Terrier 3	Scottish Terrier	F	9.07	25.4	13.5		1			1	1	1	1	1		2	
Scottish Terrier 4	Scottish Terrier	F	9.07	25.4	13.5		1			1	1	1	1	1		2	
Shetland Sheepdog 1	Shetland Sheepdog	F	10.02	36.83	12.5	1	1	1		1	1	2	1	1	2	1	
Shetland Sheepdog 2	Shetland Sheepdog	F	10.02	36.83	12.5	1	1	1		1	1	2	1	1	2	1	
Shetland Sheepdog 3	Shetland Sheepdog	M	10.02	36.83	12.5	1	1	1		1	1	2	1	1	2	1	
Shiba Inu 1	Shiba Inu	F	9.07	38.1	13.5	1	1	1		1	1	2	1	1	1	1	
Shiba Inu 2	Shiba Inu	M	9.07	38.1	13.5	1	1	1		1	1	2	1	1	1	1	
Shih Tzu	Shih Tzu	M	5.67	24.765			2			1	1	2		1	2	2	
Siberian Husky 1	Siberian Husky	F	21.55	54.9275	13.5		1	1	3	1	2	1		1		1	1
Siberian Husky 2	Siberian Husky	M	21.55	54.9275	13.5		1	1	3	1	2	1		1		1	1
Siberian Husky 3	Siberian Husky	M	21.55	54.9275	13.5		1	1	3	1	2	1		1		1	1
Siberian Husky 4	Siberian Husky	M	21.55	54.9275	13.5		1	1	3	1	2	1		1		1	1
Sloughi 1	Sloughi	M	23.25	67.31	14	2				1	1	1	1	1	1	1	
Sloughi 2	Sloughi	F	23.25	67.31	14	2				1	1	1	1	1	1	1	
Sloughi 3	Sloughi	M	23.25	67.31	14	2				1	1	1	1	1	1	1	
Sloughi 4	Sloughi	M	23.25	67.31	14	2				1	1	1	1	1	1	1	
Soft Coated Wheaten Terrier 1	Soft Coated Wheaten Terrier	F	15.88	45.72	13.5	1	2	1		1	1	1		1		2	
Soft Coated Wheaten Terrier 2	Soft Coated Wheaten Terrier	M	15.88	45.72	13.5	1	2	1		1	1	1		1		2	
Soft Coated Wheaten Terrier 3	Soft Coated Wheaten Terrier	F	15.88	45.72	13.5	1	2	1		1	1	1		1		2	
Soft Coated Wheaten Terrier 4	Soft Coated Wheaten Terrier	F	15.88	45.72	13.5	1	2	1		1	1	1		1		2	
Spanish Water Dog	Spanish Water Dog	M	17.92	45.085	12	1	2			1	1	2		1		2	
Spinone Italiano	Spinone Italiano	F	36.5	65			2		1	1	1			1	1	1	
Standard Poodle 1	Standard Poodle	F	26.08	38.1	13.5		2	2	3	1	1	1	1	1		1	2
Standard Poodle 2	Standard Poodle	F	26.08	38.1	13.5		2	2	3	1	1	1	1	1		1	2
Standard Poodle 3	Standard Poodle	M	26.08	38.1	13.5		2	2	3	1	1	1	1	1		1	2
Standard Poodle 4	Standard Poodle	M	26.08	38.1	13.5		2	2	3	1	1	1	1	1		1	2
Standard Schnauzer 1	Standard Schnauzer	M	14.97	46.99	14.5			1	3	1	1		1	1	1	2	1
Standard Schnauzer 2	Standard Schnauzer	M	14.97	46.99	14.5			1	3	1	1		1	1	1	2	1
Standard Schnauzer 3	Standard Schnauzer	F	14.97	46.99	14.5			1	3	1	1		1	1	1	2	1
Standard Schnauzer 4	Standard Schnauzer	M	14.97	46.99	14.5			1	3	1	1		1	1	1	2	1
Swedish Lapphund	Swedish Lapphund	F	20	45.5	11.5	1	1	1		1	1	1	1	1	2	1	
Tibetan Terrier 1	Tibetan Terrier	M	10.89	57.15	13.5					1	1	2		1	2	2	
Tibetan Terrier 2	Tibetan Terrier	M	10.89	57.15	13.5					1	1	2		1	2	2	
Toy Poodle	Toy Poodle	F	2.77	25.4	16	1	2	2		1	1	1	1	1			
Vizsla	Vizsla	F	24	58.5	9.15		2	1	1	1	1	1	1	1	1	1	
Weimaraner	Weimaraner	F	32.5	63.5	12.5		2	1	1	1	1	1	1	1	1	1	
West Highland White Terrier 1	West Highland White Terrier	F	8	26.67	14		1	1		1	1	2		1	2	2	
West Highland White Terrier 10	West Highland White Terrier	F	8	26.67	14		1	1		1	1	2		1	2	2	
West Highland White Terrier 11	West Highland White Terrier	M	8	26.67	14		1	1		1	1	2		1	2	2	
West Highland White Terrier 2	West Highland White Terrier	F	8	26.67	14		1	1		1	1	2		1	2	2	
West Highland White Terrier 3	West Highland White Terrier	F	8	26.67	14		1	1		1	1	2		1	2	2	
West Highland White Terrier 4	West Highland White Terrier	F	8	26.67	14		1	1		1	1	2		1	2	2	
West Highland White Terrier 5	West Highland White Terrier	F	8	26.67	14		1	1		1	1	2		1	2	2	
West Highland White Terrier 6	West Highland White Terrier	F	8	26.67	14		1	1		1	1	2		1	2	2	
West Highland White Terrier 7	West Highland White Terrier	F	8	26.67	14		1	1		1	1	2		1	2	2	
West Highland White Terrier 8	West Highland White Terrier	M	8	26.67	14		1	1		1	1	2		1	2	2	
West Highland White Terrier 9	West Highland White Terrier	F	8	26.67	14		1	1		1	1	2		1	2	2	
Whippet	Whippet	M	12.93	48.5	13.5	2				1	1			1	1	1	
Xoloitzcuintli 1	Xoloitzcuintli	M			13.5		1	1		1	1	1	1	2	1	1	
Xoloitzcuintli 2	Xoloitzcuintli	M			13.5		1	1		1	1	1	1	2	1	1	
Yorkshire Terrier 1	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 10	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 11	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 12	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 13	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 14	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 15	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 16	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 17	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 18	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 19	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 2	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 20	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 21	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 22	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 23	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 24	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 25	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 26	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 27	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 28	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 29	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 3	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 30	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 31	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 32	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 33	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 34	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 35	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 36	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 37	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 38	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 39	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 4	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 40	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 41	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 42	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 43	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 44	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 45	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 46	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 47	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 48	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 49	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 5	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 50	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 51	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 52	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 53	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 54	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 55	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 56	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 57	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 58	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 59	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 6	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 60	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 61	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 62	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 63	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 64	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 65	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 66	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 67	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 68	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 69	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 7	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 70	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 71	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 72	Yorkshire Terrier	F	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 73	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 74	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 75	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 8	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
Yorkshire Terrier 9	Yorkshire Terrier	M	2.49	16.51	14.5	1	1	1	3	1	1	1	1	1	2	2	1
